Timestamp,Email Address,Géopole / Geopole ,Niveau d'études / Level of study,Depuis combien de temps êtes-vous membre étudiant du CSBQ? / How long have you been a student member of the QCBS?,Ça fait combien de temps depuis que vous êtes membre étudiant du CSBQ? / How long has it been since you were a QCBS student member?,Que faites-vous maintenant? / What do you do now?,Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Ateliers R / R workshops],"Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Autres cours et ateliers / Other courses and workshops (Biodiversity Science course, QGIS, GIMP, SQL, etc.)]",Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Colloque annuel / Annual symposium],Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Réseau de chercheurs / Network of researchers],"Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Opportunités de leadership (postes de représentants, création d'ateliers, etc.) / Leadership opportunities (representative role, workshop creation, etc.)]","Si vous avez répondu ""fortement positif"" à une ou plusieurs des questions ci-dessus, SVP partagez un exemple d'impact positif qu'a eu le CSBQ sur votre parcours académique et/ou votre carrière. / If you answered ""strongly positive"" to any of the above, please share at least one example of how the QCBS has positively impacted your academic or professional career.",Comment évalueriez-vous l’influence du CSBQ sur votre développement en tant que chercheur(e)? / How would you rate the influence of the QCBS on your development as a researcher?,Combien de bourses avez-vous reçu du CSBQ? / How many awards have you received from the QCBS?," Si vous avez reçu une (ou plusieurs) bourses du CSBQ, qu’en avez-vous fait(es)? Si vous en avez reçu plusieurs, SVP partagez l'expérience qui vous a le plus bénéficié. / If you have received at least one award from the QCBS, what did you use it (or them) for? If you received many awards, please share your most beneficial experience.",Pensez-vous que les bourses du CSBQ vous ont permis d'accéder à des opportunités qui seraient autrement impossibles? / Do you think the QCBS awards allowed you to access opportunities that would otherwise have been impossible?,"Pour vous, le CSBQ c’est quoi en 2-3 mots? /What is the QCBS to you in 2-3 words?",Qu'est-ce que le CSBQ vous a apporté? / What have you gained from the QCBS?,Voulez-vous signer la lettre de soutien? / Would you like to sign the support letter?,Seriez-vous prêt à faire un témoignage vidéo? / Would you be interested in making a video testimonial?
3/4/2020 14:50:12,NA,Université de Sherbrooke,Ph.D.,1 - 2 ans/years,,,Neutre / Neutral,Fortement positif / Strongly positive,Neutre / Neutral,Positif / Positive,Neutre / Neutral,,4,1,Intensive course,4,,,Oui,No
3/4/2020 14:51:09,NA,Université du Québec à Montréal,M. Sc.,< 1 an/year,6 mois/months - 1 an/year,Maîtrise recherche en biologie,Neutre / Neutral,Neutre / Neutral,Positif / Positive,Positif / Positive,Neutre / Neutral,,4,0,,,"partage, communauté, découverte","Je ne suis membre que depuis peu, mais il m'a permis de découvrir d'autres aspects des sciences en ayant des survols de d'autres domaines de recherche. ",Oui,No
3/4/2020 14:52:57,NA,Concordia University,Ph.D.,> 2 ans/years,> 2 ans/years,Part-time PhD / Biologist,Neutre / Neutral,Neutre / Neutral,Positif / Positive,Neutre / Neutral,Neutre / Neutral,,3,0,,1,"Réseautage, Société, Environnement",Le CSBQ a ouvert mes horizons de biologistes,Oui,No
3/4/2020 14:53:55,NA,Université du Québec à Montréal,M. Sc.,1 - 2 ans/years,,,Positif / Positive,Positif / Positive,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,"Le colloque annuel m'a permis de présenter mon projet de recherche à l'ensemble des chercheurs/étudiants présents. Ce partage d'informations nous permet à tous, d'apprendre et d'échanger sur les problématiques actuelles, les méthodes inventaires et les différentes analyses statistiques. Le CSBQ soutient ses membres et leur permet d'aller plus loin dans leur projet!",4,0,,,,,Oui,No
3/4/2020 14:54:04,NA,Université du Québec à Montréal,Ph.D.,> 2 ans/years,,,Positif / Positive,Neutre / Neutral,Fortement positif / Strongly positive,Positif / Positive,Neutre / Neutral,L’occasion de présenter mes recherches ,4,1,Groupe de travail en France,5,Occasion d’échange ,Des réflexions inspirantes,Oui,No
3/4/2020 14:54:05,NA,Université du Québec à Montréal,M. Sc.,1 - 2 ans/years,,,Positif / Positive,Positif / Positive,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,"Le colloque annuel m'a permis de présenter mon projet de recherche à l'ensemble des chercheurs/étudiants présents. Ce partage d'informations nous permet à tous, d'apprendre et d'échanger sur les problématiques actuelles, les méthodes inventaires et les différentes analyses statistiques. Le CSBQ soutient ses membres et leur permet d'aller plus loin dans leur projet!",4,0,,,,,Oui,No
3/4/2020 14:57:11,NA,Université du Québec à Montréal,Ph.D.,> 2 ans/years,> 2 ans/years,,Positif / Positive,Neutre / Neutral,Positif / Positive,Neutre / Neutral,Neutre / Neutral,,3,0,,4,,,Oui,No
3/4/2020 15:00:58,NA,Concordia University,Ph.D.,> 2 ans/years,> 2 ans/years,Candidate au doctorat à l'Université Concordia,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"Le CSBQ m'a permis de m'impliquer avec le Beagle et donc de développer mon intérêt pour la communication scientifique. Le colloque du CSBQ est aussi une opportunité incroyable pour rencontrer de nouveaux chercheurs et promouvoir la collaboration. On y cultive l'ouverture et les étudiant.e.s au début de leurs études sont les bienvenues, d'une façon que j'ai rarement vu dans d'autres réseaux de recherche.",5,2,Les bourses que j'ai reçu était pour assister à des rencontres avec des collaborateurs hors de Montréal et pour assister à des conférences.,5,"Biodiversité, inclusion, collaboration","Le colloque du CSBQ a été un de mes premiers sauts dans le monde de la recherche et des conférences. Grâce à l'atmosphère qui y est cultivé, je me suis immédiatement senti à l'aise et bienvenue dans le réseau. À travers les années, j'ai évolué avec le CSBQ, en participant à leurs atelier de R et en participant aux différents colloques. Depuis l'an dernier, je fais partie du Beagle, le blog étudiant du réseau. Je me sens extrêmement chanceuse de pouvoir participer à un tel projet qui est toujours supporté par le réseau et qui permet le rayonnement de ses étudiants.  ",Oui,Yes
3/4/2020 15:14:00,NA,Concordia University,Ph.D.,< 1 an/year,,,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,"QCBS provided support for the Montreal Eco Evo Symposium (MEES) in December 2019, which provided me with fantastic opportunities to meet and network with other scientists in the program. Although I did not present at MEES, I intend to go to future meetings and present my research once it is more developed.",4,0,,,Unique professional network,"Opportunities to meet other students and scientists interested in biodiversity, who I would not have met otherwise.",Oui,No
3/4/2020 15:14:39,NA,Concordia University,,< 1 an/year,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,It's given me the skills and network necessary to complete my graduate degree. ,5,1,An intensive course.,5,A knowledge center,"A network of researchers, scientific skills, and knowledge on many aspects of biodiversity.",Oui,No
3/4/2020 15:22:53,NA,INRS-institut Armand Frappier,Ph.D.,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Le colloque du CSBQ m'a permis d'élargir mon réseau et de rencontrer des chercheurs et étudiants qui m'ont donné des conseils précieux pour l'avancement de mon projet de thèse.,5,3 or more,"J'ai reçu plusieurs bourses du CSBQ pour participer à des colloques à l'étranger. L'expérience la plus profitable fut le colloque ISME17 à Leipzig en Allemagne, qui est un congrès majeur pour mon domaine de recherche. Cela m'a permis de rencontrer des somités du milieu, une chance extraordinaire que je n'aurais jamais pu avoir sans le soutien essentiel du CSBQ.",5,Un réseau exceptionnel de chercheurs qui représentent pour moi un soutien incroyable à mes recherches,"J'ai appris beaucoup auprès du CSBQ, notamment via les formations offertes gratuitement",Oui,Yes
3/4/2020 15:32:11,NA,Université de Sherbrooke,Ph.D.,> 2 ans/years,> 2 ans/years,Collaboratrice de recherche dans un projet de la Chaire de Recherche sur les Enjeux Sociaux de la Conservation,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,Positif / Positive,Positif / Positive,Tous les ateliers R que j'ai réçu ont été très utiles pour le développement de ma thèse de doctorat.,4,2,J'ai assisté à deux congrès différents pour montrer des résulats de ma recherche,5,"Conservation, connaissance, opportunitées",Opportunitées pour acquerir des informations complementaires dans le milieu universitaire et en suite une opportunité de travail de recherche que vise à la conservation des habitats fauniques du Québec.,Oui,No
3/4/2020 15:35:20,NA,,,,> 2 ans/years,Quantitative biologist with ECCC,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,The intensive GIS courses and R courses greatly advanced my statistical knowledge and contributed to my success in my current position within the federal government ,4,1,Travel award to present at a national conference ,4,An inspiring network of Quebec researchers ,Statistical knowledge ,Oui,No
3/4/2020 15:35:48,NA,McGill University,M. Sc.,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Les ateliers R m'ont énormément aidés et sont une des meilleures resources du genre,5,1,,5,,,Oui,
3/4/2020 15:36:20,NA,Concordia University,M. Sc.,< 1 an/year,6 mois/months - 1 an/year,,Positif / Positive,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Positif / Positive,Fortement positif / Strongly positive,"I attended the 2019 Biodiversity Science course held by the QCBS. The course was one of the best courses I have taken during my studies. I was able to interact not only with MSc. and PhD students from across the province, but also with world-class professors who are experts in a variety of biodiversity science topics. I created great friendships from the course, and the course materials have already helped in guiding my MSc research and solidifying my interest in studying and advocating for biodiversity science. Without the organization of the QCBS, or the funding provided, I would never have been able to make valuable connections with students and professors.",4,1,"My award went to paying the ""non-tuition"" component of the biodiversity science course",4,"Networking, Learning, and Sharing","valuable education (R workshops, biodiversity course), and a network of students and professors I feel comfortable reaching out to",Oui,No
3/4/2020 15:39:51,NA,Université de Montréal,Ph.D.,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,Fortement positif / Strongly positive,"Le CSBQ a été un moteur majeur -- autant voir plus que mon université -- dans le développement de mes compétences (autant scientifiques que de leadership ou encore de communication) et de mon réseau. Par exemple, les ateliers (R, visualisation, ...) m'ont permi d'acquérir des compétences primordiales pour mener à bien mon projet de recherche de doctorat tout en rencontrant d'autres étudiants qui partagent les mêmes centres d'intérêt que moi.",5,3 or more,La bourse dont j'ai le plus bénéficié est le prix d'excellence qui m'a permis de participer au colloque annuel de l'Ecological Society of America pour présenter mes résultats de recherche devant des acteurs majeurs de mon domaine de recherche.,4,Réseau fort / Soutien technique adapté,"Un sentiment d'appartenance, un soutien financier et technique, de nouvelles collaborations",Oui,No
3/4/2020 15:40:41,NA,,M. Sc.,> 2 ans/years,> 2 ans/years,Started a Company,Positif / Positive,Positif / Positive,Positif / Positive,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,QCBS gave me the opportunity to do a project with other researchers that would never have happened without the Seed Grant. This collaboration lead to the start of a new business and my career!,4,1,Analyzed satellite images of whales with DFO,5,opportunity,network and skills,Oui,No
3/4/2020 15:41:29,NA,McGill University,M. Sc.,> 2 ans/years,> 2 ans/years,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,,5,0,,,,,Oui,No
3/4/2020 15:47:08,NA,Université Laval,Post-Doc,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,,5,3 or more,,5,,,Oui,No
3/4/2020 15:48:00,NA,Université du Québec à Chicoutimi,Ph.D.,1 - 2 ans/years,,,Ne s'applique pas / Does not apply,Positif / Positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,,4,0,,3,,,Oui,No
3/4/2020 15:48:30,NA,Université du Québec à Rimouski,Ph.D.,> 2 ans/years,,,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,"D'abord, j'apprécie grandement les colloques du CSBQ chaque année. C'est un rassemblement entre les chercheurs du Québec à ne pas manquer. Le CSBQ a aussi beaucoup contribué dans mon parcours en m'aidant à me bâtir une base solide en statistiques (ateliers R), mais aussi en me permettant de participer à des conférences internationales (prix d'excellence).",5,2,"J'ai un une bourse au Bac pour me permettre de faire un projet de recherche. J'ai eu une deuxième bourse, à la maîtrse, pour participer à une conférence internationale. J'ai également une demande présentement en évaluation pour participer à une conférence internationale.",4,une ressource essentiel pour les étudiants,,Oui,No
3/4/2020 15:48:40,NA,Université du Québec à Rimouski,Ph.D.,1 - 2 ans/years,1 - 2 ans/years,étudie au doctorat,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Positif / Positive,Fortement positif / Strongly positive,,5,1,,5,,,Oui,Yes
3/4/2020 15:52:15,NA,McGill University,Ph.D.,> 2 ans/years,> 2 ans/years,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"The QCBS has supported me throughout the entire duration of my graduate studies, allowing me to learn diverse new skills, and expand my studies into much more than they ever could have been without this valuable support. ",5,3 or more,"I've used QCBS Excellence Awards to help fund conference presentations, skill development workshops, and even exchanges with international laboratories. ",5,"The QCBS is support, excellence, and integrity. ",,Oui,Yes
3/4/2020 15:52:21,NA,McGill University,M. Sc.,1 - 2 ans/years,< 6 mois/months,,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Neutre / Neutral,Positif / Positive,Positif / Positive,Gave me skills from workshops to improve my CV for job prospects,3,0,,4,Much needed help,help universities don’t provide,Oui,No
3/4/2020 15:57:24,NA,McGill University,Ph.D.,> 2 ans/years,> 2 ans/years,PhD.,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,Neutre / Neutral,Positif / Positive,"J'ai participer à l'organization et la structuration du CSBQ (Drive, évaluation du CSBQ, développement d'ateliers (e.g. LMM), organization d'évènements lors des conférences, travaillé à la red.couverte et la création des réseaux du CSBQ, développé de nouvelles activités, etc.). Je crois que le CSBQ à fortement aidé à mon développement académique. Par contre, je crois qu'il devrait avoir une meilleure organisation entre les étudiants et surtout entre les étudiants et les chercheurs dans le réseau. Il devrait y avoir beaucoup plus d'interactions et d'intégration des personnes impliqués dans le réseau. ",4,2,C'était des bourses de recherche pour continuer mon projet. ,4,"Multidisciplinaire, intégration, collaboration, opportunité ","Personnellement, une réflexion sur la manière dont je préfère travailler. J'ai fait beaucoup de recherche et de réflexion sur ma manière de faire les choses. ",Oui,Yes
3/4/2020 15:57:46,NA,McGill University,Post-Doc,1 - 2 ans/years,,postdoc,Fortement positif / Strongly positive,Positif / Positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Bringing me to Canada from the USA . ,4,0,,,Biodiversity community,,Oui,No
3/4/2020 15:59:41,NA,Concordia University,M. Sc.,< 1 an/year,< 6 mois/months,Student,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Neutre / Neutral,The QCBS workshops have given me opportunities to learn skills that I would otherwise not have been able to learn in my normal university curriculum.,4,0,,,,,Oui,
3/4/2020 16:06:18,NA,McGill University,Ph.D.,> 2 ans/years,> 2 ans/years,Ph.D. in Biology,Positif / Positive,Positif / Positive,Positif / Positive,Fortement positif / Strongly positive,Positif / Positive,"Through QCBS, I have been able to meet and collaborate with many different researchers from institutions across Quebec that I would not have had the opportunity to do so otherwise.",5,2,I received an intensive course award to take an intensive course on path analysis at the University of Sherbrooke. I also received an Excellence award to fund my trip to southwestern China to collect steeped alcohol samples for a chapter of my Ph.D. thesis that aims to develop a genetic method to identify endangered species from this form of Traditional Chinese Medicine.,5,"Community, opportunities, platform",A community of like-minded researchers who hope to improve biodiversity in Quebec and around the world.,Oui,Yes
3/4/2020 16:08:34,NA,McGill University,M. Sc.,< 1 an/year,< 6 mois/months,,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,"The R workshops have been instrumental in helping our lab to learn this essential coding language. These workshops are crucial for burgeoning life scientists with limited computer science and statistical backgrounds to be able to confidently and accurately analyze their data. Furthermore, the seminars hosted by QCBS have been extremely helpful in connecting members of our lab to others in the field. Additionally, the funding provided for attending workshops and conferences is critical for allowing graduate students to participate in these events when other funding is not available. Being able to learn new technical skills at workshops or present our work at conferences are indispensable for the academic and professional success of graduate students. ",4,0,,5,A networking opportunity,"Our lab has gained knowledge from attending R workshops, and we have been able to meet with many scientists in the field of microbial ecology which we would not have otherwise been able to meet.",Oui,No
3/4/2020 16:12:34,NA,Université de Montréal,Ph.D.,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"The QCBS has given me many fantastic opportunities that I would otherwise not have had, including practicing French. Another example, we invited a researcher to come and teach us a method he had developed. We were able to have him come and give a workshop of a weekend, all through QCBS support. The amount I was able to learn demonstrated how unique an opportunity it was, and truly fundamental to my PhD project, and future career.",5,0,,,"Opportunities, Training, Leadership","I have gained so much support from the QCBS, including: training, learning new techniques, providing me a place to safely, and comfortably practice my French, and access to other researchers for help, or comments. The QCBS has been an amazing highlight in my PhD programme, and without it, many Quebec students and researchers will be much weaker.",Oui,No
3/4/2020 16:14:12,NA,Université de Sherbrooke,M. Sc.,> 2 ans/years,> 2 ans/years,Je termine une maîtrise,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Neutre / Neutral,Neutre / Neutral,"Les ateliers R m'ont beaucoup aidé à mieux comprendre les statistiques, mieux maîtriser R pour les appliquer et mieux comprendre dans quels contextes les utiliser.",3,0,,,"Enrichissement, support, collaborations","Le CSBQ m'a offert plusieurs opportunités d'élargir mes connaissances dans divers domaines à travers les workshops et les ateliers, et m'a permis de pratiquer ma vulgarisation scientifique et de faire plusieurs rencontres enrichissantes lors des colloques organisés par celui-ci. ",Oui,No
3/4/2020 16:16:10,NA,Université de Montréal,Ph.D.,< 1 an/year,6 mois/months - 1 an/year,Ph.D,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"à titre d'exemple, les ateliers R m'ont permis de vraiment mieux comprendre le logiciel et le langage, que je ne comprenais vraiment que très peu auparavant. Comme il s'agit d'un atout important dans le métier, j'en suis plus que ravie! ",5,0,,,"Un centre actif en recherche, qui permet la diffusion de la science! ","De la visibilité, ainsi que des occasions de partage avec d'autres étudiants ou chercheurs.",Oui,No
3/4/2020 16:19:48,NA,Concordia University,M. Sc.,< 1 an/year,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,,5,1,,4,Invaluable learning/networking ,"Practical skills, networking opportunities, learning opportunities and research exposure",Oui,Yes
3/4/2020 16:20:56,NA,Université du Québec à Montréal,Post-Doc,< 1 an/year,,,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Fortement positif / Strongly positive,,5,0,,5,,,Oui,No
3/4/2020 16:23:30,NA,Université de Sherbrooke,M. Sc.,< 1 an/year,,,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,,5,0,,,,,Oui,No
3/4/2020 16:23:59,NA,Université du Québec à Montréal,Ph.D.,< 1 an/year,,,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Positif / Positive,Positif / Positive,Positif / Positive,,4,0,,,Communauté scientifique,"L’opportunité de connaître les membres et leur partager des informations, dans le cadre de mon rôle de représentante locale.",Oui,No
3/4/2020 16:27:28,NA,Université du Québec à Montréal,M. Sc.,1 - 2 ans/years,1 - 2 ans/years,Fin de maîtrise,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,Neutre / Neutral,Fortement positif / Strongly positive,"En plus d'avoir financé une partie de mon terrain de recherche, grâce au CSBQ mes aptitudes à utiliser R, GIMP ainsi que Inkscape ont fortement augmenté. ",5,2,Ces bourses ont servi à financer le matériel pour un stage en fin de BAC à l'UQÀM et la session de terrain pour récolter des mesures de mon projet de recherche à la maîtrise. ,4,Organisme de soutien à la recherche,Une aide financière précieuse et des opportunités d'apprentissage (ateliers),Oui,No
